Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 29 00 35 00 000  -39.00  -569.00
2003 10 29 00 36 00 000  -40.00  -649.00
2003 10 29 00 37 00 000  -41.00  -649.00
2003 10 29 00 38 00 000  -42.00  -612.00
2003 10 29 00 39 00 000  -43.00  -549.00
2003 10 29 00 40 00 000  -43.00  -503.00
2003 10 29 00 41 00 000  -42.00  -465.00
2003 10 29 00 42 00 000  -42.00  -523.00
2003 10 29 00 43 00 000  -43.00  -599.00
2003 10 29 00 44 00 000  -44.00  -559.00
2003 10 29 00 45 00 000  -44.00  -575.00
2003 10 29 00 46 00 000  -44.00  -603.00
2003 10 29 00 47 00 000  -44.00  -578.00
2003 10 29 00 48 00 000  -44.00  -493.00
2003 10 29 00 49 00 000  -45.00  -482.00
2003 10 29 00 50 00 000  -45.00  -499.00
2003 10 29 00 51 00 000  -47.00  -502.00
2003 10 29 00 52 00 000  -47.00  -486.00
2003 10 29 00 53 00 000  -48.00  -553.00
2003 10 29 00 54 00 000  -48.00  -577.00
2003 10 29 00 55 00 000  -48.00  -547.00
2003 10 29 00 56 00 000  -48.00  -563.00
2003 10 29 00 57 00 000  -48.00  -558.00
2003 10 29 00 58 00 000  -48.00  -575.00
2003 10 29 00 59 00 000  -48.00  -576.00
2003 10 29 01 00 00 000  -48.00  -568.00
2003 10 29 01 01 00 000  -48.00  -552.00
2003 10 29 01 02 00 000  -49.00  -524.00
2003 10 29 01 03 00 000  -49.00  -478.00
2003 10 29 01 04 00 000  -49.00  -465.00
2003 10 29 01 05 00 000  -49.00  -412.00
2003 10 29 01 06 00 000  -49.00  -383.00
2003 10 29 01 07 00 000  -49.00  -381.00
2003 10 29 01 08 00 000  -49.00  -371.00
2003 10 29 01 09 00 000  -49.00  -354.00
2003 10 29 01 10 00 000  -48.00  -376.00
2003 10 29 01 11 00 000  -48.00  -398.00
2003 10 29 01 12 00 000  -48.00  -401.00
2003 10 29 01 13 00 000  -48.00  -394.00
2003 10 29 01 14 00 000  -48.00  -367.00
2003 10 29 01 15 00 000  -47.00  -349.00
2003 10 29 01 16 00 000  -48.00  -321.00
2003 10 29 01 17 00 000  -48.00  -375.00
2003 10 29 01 18 00 000  -48.00  -319.00
2003 10 29 01 19 00 000  -48.00  -355.00
2003 10 29 01 20 00 000  -47.00  -430.00
2003 10 29 01 21 00 000  -47.00  -415.00
2003 10 29 01 22 00 000  -48.00  -330.00
2003 10 29 01 23 00 000  -47.00  -367.00
2003 10 29 01 24 00 000  -47.00  -413.00
2003 10 29 01 25 00 000  -46.00  -430.00
2003 10 29 01 26 00 000  -45.00  -406.00
2003 10 29 01 27 00 000  -43.00  -390.00
2003 10 29 01 28 00 000  -42.00  -394.00
2003 10 29 01 29 00 000  -42.00  -384.00
2003 10 29 01 30 00 000  -43.00  -357.00
2003 10 29 01 31 00 000  -44.00  -265.00
2003 10 29 01 32 00 000  -44.00  -293.00
2003 10 29 01 33 00 000  -43.00  -378.00
2003 10 29 01 34 00 000  -42.00  -372.00
2003 10 29 01 35 00 000  -42.00  -349.00
2003 10 29 01 36 00 000  -41.00  -288.00
2003 10 29 01 37 00 000  -42.00  -262.00
2003 10 29 01 38 00 000  -42.00  -261.00
2003 10 29 01 39 00 000  -43.00  -291.00
2003 10 29 01 40 00 000  -42.00  -327.00
2003 10 29 01 41 00 000  -42.00  -399.00
2003 10 29 01 42 00 000  -43.00  -406.00
2003 10 29 01 43 00 000  -42.00  -360.00
2003 10 29 01 44 00 000  -42.00  -328.00
2003 10 29 01 45 00 000  -42.00  -321.00
2003 10 29 01 46 00 000  -42.00  -330.00
2003 10 29 01 47 00 000  -43.00  -321.00
2003 10 29 01 48 00 000  -43.00  -311.00
2003 10 29 01 49 00 000  -43.00  -320.00
2003 10 29 01 50 00 000  -43.00  -348.00
2003 10 29 01 51 00 000  -43.00  -351.00
2003 10 29 01 52 00 000  -44.00  -317.00
2003 10 29 01 53 00 000  -44.00  -272.00
2003 10 29 01 54 00 000  -44.00  -270.00
2003 10 29 01 55 00 000  -44.00  -292.00
2003 10 29 01 56 00 000  -44.00  -309.00
2003 10 29 01 57 00 000  -43.00  -324.00
2003 10 29 01 58 00 000  -43.00  -334.00
2003 10 29 01 59 00 000  -43.00  -350.00
2003 10 29 02 00 00 000  -44.00  -358.00
2003 10 29 02 01 00 000  -43.00  -366.00
2003 10 29 02 02 00 000  -43.00  -373.00
2003 10 29 02 03 00 000  -42.00  -375.00
2003 10 29 02 04 00 000  -41.00  -367.00
2003 10 29 02 05 00 000  -41.00  -347.00
2003 10 29 02 06 00 000  -41.00  -319.00
2003 10 29 02 07 00 000  -41.00  -302.00
2003 10 29 02 08 00 000  -40.00  -306.00
2003 10 29 02 09 00 000  -40.00  -315.00
2003 10 29 02 10 00 000  -39.00  -294.00
2003 10 29 02 11 00 000  -39.00  -264.00
2003 10 29 02 12 00 000  -38.00  -254.00
2003 10 29 02 13 00 000  -37.00  -258.00
2003 10 29 02 14 00 000  -36.00  -258.00
2003 10 29 02 15 00 000  -35.00  -247.00
2003 10 29 02 16 00 000  -37.00  -254.00
2003 10 29 02 17 00 000  -37.00  -255.00
2003 10 29 02 18 00 000  -37.00  -258.00
2003 10 29 02 19 00 000  -37.00  -263.00
2003 10 29 02 20 00 000  -36.00  -284.00
2003 10 29 02 21 00 000  -36.00  -256.00
2003 10 29 02 22 00 000  -36.00  -229.00
2003 10 29 02 23 00 000  -36.00  -232.00
2003 10 29 02 24 00 000  -35.00  -230.00
2003 10 29 02 25 00 000  -35.00  -224.00
2003 10 29 02 26 00 000  -35.00  -229.00
2003 10 29 02 27 00 000  -34.00  -216.00
2003 10 29 02 28 00 000  -34.00  -202.00
2003 10 29 02 29 00 000  -33.00  -208.00
2003 10 29 02 30 00 000  -33.00  -220.00
2003 10 29 02 31 00 000  -32.00  -238.00
2003 10 29 02 32 00 000  -32.00  -243.00
2003 10 29 02 33 00 000  -32.00  -237.00
2003 10 29 02 34 00 000  -32.00  -233.00
2003 10 29 02 35 00 000  -32.00  -283.00
2003 10 29 02 36 00 000  -31.00  -250.00
2003 10 29 02 37 00 000  -30.00  -251.00
2003 10 29 02 38 00 000  -30.00  -240.00
2003 10 29 02 39 00 000  -29.00  -224.00
2003 10 29 02 40 00 000  -29.00  -218.00
2003 10 29 02 41 00 000  -28.00  -194.00
2003 10 29 02 42 00 000  -27.00  -207.00
2003 10 29 02 43 00 000  -27.00  -225.00
2003 10 29 02 44 00 000  -27.00  -187.00
2003 10 29 02 45 00 000  -27.00  -189.00
2003 10 29 02 46 00 000  -27.00  -193.00
2003 10 29 02 47 00 000  -29.00  -185.00
2003 10 29 02 48 00 000  -29.00  -163.00
2003 10 29 02 49 00 000  -29.00  -174.00
2003 10 29 02 50 00 000  -30.00  -156.00
2003 10 29 02 51 00 000  -31.00  -132.00
2003 10 29 02 52 00 000  -31.00  -130.00
2003 10 29 02 53 00 000  -31.00  -148.00
2003 10 29 02 54 00 000  -32.00  -160.00
2003 10 29 02 55 00 000  -33.00  -165.00
2003 10 29 02 56 00 000  -32.00  -160.00
2003 10 29 02 57 00 000  -32.00  -169.00
2003 10 29 02 58 00 000  -32.00  -170.00
2003 10 29 02 59 00 000  -32.00  -169.00
2003 10 29 03 00 00 000  -29.00  -160.00
2003 10 29 03 01 00 000  -29.00  -167.00
2003 10 29 03 02 00 000  -28.00  -176.00
2003 10 29 03 03 00 000  -28.00  -182.00
2003 10 29 03 04 00 000  -27.00  -187.00
2003 10 29 03 05 00 000  -28.00  -188.00
2003 10 29 03 06 00 000  -29.00  -186.00
2003 10 29 03 07 00 000  -29.00  -187.00
2003 10 29 03 08 00 000  -29.00  -185.00
2003 10 29 03 09 00 000  -29.00  -193.00
2003 10 29 03 10 00 000  -29.00  -213.00
2003 10 29 03 11 00 000  -29.00  -225.00
2003 10 29 03 12 00 000  -29.00  -237.00
2003 10 29 03 13 00 000  -29.00  -243.00
2003 10 29 03 14 00 000  -29.00  -252.00
2003 10 29 03 15 00 000  -30.00  -259.00
2003 10 29 03 16 00 000  -30.00  -289.00
2003 10 29 03 17 00 000  -31.00  -322.00
2003 10 29 03 18 00 000  -31.00  -329.00
2003 10 29 03 19 00 000  -32.00  -314.00
2003 10 29 03 20 00 000  -33.00  -291.00
2003 10 29 03 21 00 000  -33.00  -268.00
2003 10 29 03 22 00 000  -33.00  -255.00
2003 10 29 03 23 00 000  -33.00  -236.00
2003 10 29 03 24 00 000  -32.00  -235.00
2003 10 29 03 25 00 000  -32.00  -235.00
2003 10 29 03 26 00 000  -32.00  -242.00
2003 10 29 03 27 00 000  -31.00  -257.00
2003 10 29 03 28 00 000  -33.00  -255.00
2003 10 29 03 29 00 000  -33.00  -236.00
2003 10 29 03 30 00 000  -32.00  -228.00
2003 10 29 03 31 00 000  -31.00  -230.00
2003 10 29 03 32 00 000  -31.00  -250.00
2003 10 29 03 33 00 000  -31.00  -262.00
2003 10 29 03 34 00 000  -32.00  -237.00
2003 10 29 03 35 00 000  -32.00  -227.00
2003 10 29 03 36 00 000  -31.00  -235.00
2003 10 29 03 37 00 000  -31.00  -239.00
2003 10 29 03 38 00 000  -31.00  -241.00
2003 10 29 03 39 00 000  -31.00  -234.00
2003 10 29 03 40 00 000  -32.00  -200.00
2003 10 29 03 41 00 000  -32.00  -180.00
2003 10 29 03 42 00 000  -32.00  -173.00
