Year Month Day Hour Min Sec Msec Bx[nT] By[nT] Bz[nT] Vx[km/s] Vy[km/s] Vz[km/s] N[cm^(-3)] T[Kelvin]
2012 7 23 0 0 0 0 0 -0.039815 0.0816 -483.1 -0.069115 498.37 5.8 10000
2012 7 23 0 1 0 0 0 -0.081349 0.18562 -483.66 -0.05765 496.63 5.8 10000
2012 7 23 0 2 0 0 0 -0.11447 0.28799 -484.22 0.23848 494.9 5.8 10000
2012 7 23 0 3 0 0 0 -0.13719 0.38279 -484.78 0.47967 495.12 5.8 13246
2012 7 23 0 4 0 0 0 -0.15438 0.48098 -485.34 0.77637 496.46 5.8 16558
2012 7 23 0 5 0 0 0 -0.16966 0.58835 -485.9 1.2342 499.76 5.8 19989
2012 7 23 0 6 0 0 0 -0.18998 0.69875 -485.9 1.4392 498.23 5.8 23538
2012 7 23 0 7 0 0 0 -0.20976 0.80585 -485.9 1.6553 496.57 5.8 27207
2012 7 23 0 8 0 0 0 -0.23091 0.90825 -485.9 1.9225 494.8 5.8 30995
2012 7 23 0 9 0 0 0 -0.26602 1.0139 -485.9 2.2819 493.27 5.8 34901
2012 7 23 0 10 0 0 0 -0.31145 1.1045 -485.9 2.6445 491.62 5.8 38555
2012 7 23 0 11 0 0 0 -0.36143 1.2022 -486.12 2.925 499.97 5.8 41956
2012 7 23 0 12 0 0 0 -0.41975 1.3088 -486.34 3.2575 498.48 5.8 45104
2012 7 23 0 13 0 0 0 -0.45434 1.4395 -486.56 3.6998 496.84 5.8 47999
2012 7 23 0 14 0 0 0 -0.48993 1.5608 -486.78 4.0661 495.17 5.8 50641
2012 7 23 0 15 0 0 0 -0.50043 1.582 -487 4.2962 493.51 5.8 50077
2012 7 23 0 16 0 0 0 -0.50063 1.583 -486.74 4.5647 491.75 5.8 49619
2012 7 23 0 17 0 0 0 -0.52027 1.5948 -486.48 5.0465 490.13 5.8 49266
2012 7 23 0 18 0 0 0 -0.52709 1.6264 -486.22 5.2365 498.39 5.8 49019
2012 7 23 0 19 0 0 0 -0.53163 1.6688 -485.96 5.4268 496.73 5.8 48878
2012 7 23 0 20 0 0 0 -0.56131 1.6741 -485.7 5.7336 495.04 5.8 48694
