Yr Mon Day Hr Min Sec Msec Bx[nT] By[nT] Bz[nT] Vx[km/s] Vy[km/s] Vz[km/s] N[cm^(-3)] T[Kelvin]
2003 9 2 0 0 0 0 0 0.52 -1.29 -416.17 14.006 -1.9773 1.82 38834
2003 9 2 0 1 0 0 0 0.82 -0.21 -418.31 5.2548 8.9304 1.83 49874
2003 9 2 0 2 0 0 0 1.3 -1.16 -416.63 -0.43509 15.702 1.86 53938
2003 9 2 0 3 0 0 0 2.75 -5.23 -415.77 2.7367 -2.9694 1.57 54186
2003 9 2 0 4 0 0 0 3.13 -3.23 -418.31 -23.476 4.9152 2.32 59042
2003 9 2 0 5 0 0 0 3.6 2.43 -416.63 -1.2681 -3.5745 1.32 48872
2003 9 2 0 6 0 0 0 11.17 5.64 -415.77 24.059 3.444 1.98 46922
2003 9 2 0 7 0 0 0 13.05 0.92 -418.52 1.4752 6.6 1.11 43508
2003 9 2 0 8 0 0 0 12.03 -1.38 -421.58 0.62061 -9.253 1.91 47426
2003 9 2 0 9 0 0 0 13.25 -2.84 -420.6 -11.013 4.1226 2.29 53023
2003 9 2 0 10 0 0 0 10.91 -0.29 -418.52 -0.46221 9.0165 2.29 48103
2003 9 2 0 11 0 0 0 12.87 -0.21 -421.58 3.4853 1.3846 1.89 48830
2003 9 2 0 12 0 0 0 13.92 1.71 -420.6 6.3959 25.948 2.93 42413
2003 9 2 0 13 0 0 0 11.6 1.71 -418.83 -5.5921 -9.1284 1.29 42413
2003 9 2 0 14 0 0 0 9.91 -1.7 -416.17 -3.5467 -11.056 1.82 52005
2003 9 2 0 15 0 0 0 9.54 2.89 -419.31 30.355 -26.248 1.21 47405
2003 9 2 0 16 0 0 0 12.14 6.71 -413.63 -33.876 13.657 2.86 38903
2003 9 2 0 17 0 0 0 9.86 -1.21 -418.77 33.441 13.006 1.12 49874
2003 9 2 0 18 0 0 0 8.01 -2.05 -414.31 5.0634 -1.1984 3.64 53938
2003 9 2 0 19 0 0 0 6.58 -0.39 -412.63 15.002 13.477 1.82 34186
2003 9 2 0 20 0 0 0 8.06 1.05 -415.77 -24.963 2.7556 2.33 59042
2003 9 2 0 21 0 0 0 13.89 1.07 -419.52 -8.8505 4.3619 2.98 48872
2003 9 2 0 22 0 0 0 8.15 -1.29 -421.58 -4.1709 1.6942 1.91 56922
2003 9 2 0 23 0 0 0 6.3 -0.21 -415.6 6.3408 6.5993 1.73 43508
2003 9 2 0 24 0 0 0 6.83 3.56 -418.52 -25.053 1.5249 2.45 57426
2003 9 2 0 25 0 0 0 9.17 1.28 -413.58 7.0744 41.81 1.26 43023
2003 9 2 0 26 0 0 0 17.48 -1.16 -417.6 -18.192 -17.5 2.89 58103
2003 9 2 0 27 0 0 0 9.59 2.84 -413.63 0.99285 -27.814 3.93 40547
2003 9 2 0 28 0 0 0 18.37 0.29 -418.77 9.7854 -17.11 2.54 54186
2003 9 2 0 29 0 0 0 15.05 -6.34 -468.83 4.9059 -16.4 11.11 169100
2003 9 2 0 30 0 0 0 15.1 -9.58 -491.67 16.239 -6.5041 23.06 167620
2003 9 2 0 31 0 0 0 14.21 -14.1 -536.91 15.091 -2.527 38.62 151440
2003 9 2 0 32 0 0 0 14.83 -21.23 -587.89 -9.7637 -3.278 55.26 255440
2003 9 2 0 33 0 0 0 18.32 -32 -646.01 3.8559 8.12 78.13 257070
2003 9 2 0 34 0 0 0 14.92 -46.25 -694.61 -14.166 5.839 88.65 357140
2003 9 2 0 35 0 0 0 19.29 -57.1 -738.05 -19.827 11.268 102.4 357840
2003 9 2 0 36 0 0 0 12.3 -61.49 -778.49 13.872 26.674 112.36 359000
2003 9 2 0 37 0 0 0 11.29 -75.98 -812.57 0.00074774 18.346 129.72 459090
2003 9 2 0 38 0 0 0 30.47 -89.23 -869.76 -0.82378 -19.249 137.79 481810
2003 9 2 0 39 0 0 0 30.83 -98.14 -892.62 13.667 -34.934 144.73 554250
2003 9 2 0 40 0 0 0 14.59 -111.82 -920.19 8.9187 13.529 169.9 554020
2003 9 2 0 41 0 0 0 7.66 -128.57 -954.06 5.253 -27.535 178.69 645090
2003 9 2 0 42 0 0 0 18.11 -137.72 -1046.7 18.755 1.0014 185.55 798780
2003 9 2 0 43 0 0 0 18.3 -149.64 -1092 13.947 0.53219 192.67 802140
2003 9 2 0 44 0 0 0 16.79 -159.77 -1114.9 3.5964 33.408 201.61 864810
2003 9 2 0 45 0 0 0 12.99 -169.54 -1199.2 -10.355 -1.0382 227.42 964500
